"case","timeframe","eventSelector","sourceJobId","dimensions","cell","eventCount","uniqueTickerCount","horizonSessions","eligibleCount","unavailableCount","smallSample","meanReturn","medianReturn","positiveReturnRatio","q25Return","q75Return","medianMfe","medianMae"
"monthly1y_near_score","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","scoreBand","{""scoreBand"":""UNKNOWN""}","0","0","120","0","0","true","","","","","","",""
"monthly1y_near_score","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","scoreBand","{""scoreBand"":""UNKNOWN""}","0","0","245","0","0","true","","","","","","",""
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S1""}","234","146","20","234","0","false","0.013539640114030863","0.011118307652675408","0.5555555555555556","-0.02563038458475994","0.04875025540390959","0.05261685891963408","-0.030103447427045293"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S1""}","234","146","60","234","0","false","0.019139227013707686","0.007435021085416604","0.5299145299145299","-0.05488352233233376","0.08245345810000976","0.08563571372668466","-0.11567729259754062"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S1""}","234","146","120","234","0","false","0.08130389787588964","0.05392580775022737","0.6324786324786325","-0.05836689835988049","0.19996534183754144","0.12978360766883879","-0.1290726897559507"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S1""}","234","146","245","234","0","false","0.199242430071203","0.10669090711478568","0.6965811965811965","-0.02245694741354068","0.3591968605267495","0.2558375363255584","-0.14929755522336619"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S2""}","313","179","20","313","0","false","0.016870949299502877","0.012578616352201255","0.5654952076677316","-0.03337169159953968","0.0625","0.051948051948051965","-0.037387600567912904"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S2""}","313","179","60","313","0","false","0.020935068446526435","0.006932409012131657","0.5175718849840255","-0.07384403036576948","0.09134615384615374","0.08991883810337464","-0.1120243531202435"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S2""}","313","179","120","313","0","false","0.0726492600573301","0.04658981748318913","0.6325878594249201","-0.05745341614906829","0.15966029723991504","0.130718954248366","-0.13129573826947916"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S2""}","313","179","245","313","0","false","0.22766860248154616","0.11307420494699638","0.7188498402555911","-0.026678932842686298","0.34974093264248696","0.2154639175257731","-0.15139826422372227"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S3""}","445","241","20","445","0","false","0.0018738472882911333","0.006381039197812299","0.5415730337078651","-0.031712962962963","0.036513545347467646","0.04630969609261948","-0.03335170893054029"
"monthly1y_near_monthA","MONTHLY","NEAR_ENTERED","aedec268-9601-4f02-be5c-2dd22d52debe","stage:monthA","{""stage:monthA"":""S3""}","445","241","60","445","0","false","0.02664254580350791","0.008957362952346726","0.5280898876404494","-0.04947916666666663","0.09216589861751157","0.08971774193548376","-0.08938547486033521"
